0.8, 0.025, 1000, 0.0, 0.0, 0.0, 0.0
0.8, 0.025, 2000, 0.0, 0.0, 0.0, 0.0
0.8, 0.025, 4000, 0.0, 0.0, 0.0, 0.0
0.8, 0.05, 1000, 0.0, 0.0, 0.0, 0.0
0.8, 0.05, 2000, 57.0, 68.0, 2.207747836224079, 2.265138273625094
0.8, 0.05, 4000, 50.0, 68.0, 2.1213585164085043, 2.2766853401579508
0.8, 0.1, 1000, 0.0, 0.0, 0.0, 0.0
0.8, 0.1, 2000, 24.0, 30.0, 2.070040966454952, 2.24444736345488
0.8, 0.1, 4000, 23.0, 31.0, 2.0478629226534344, 2.268257559053343
1, 0.025, 1000, 0.0, 0.0, 0.0, 0.0
1, 0.025, 2000, 0.0, 0.0, 0.0, 0.0
1, 0.025, 4000, 0.0, 0.0, 0.0, 0.0
1, 0.05, 1000, 0.0, 0.0, 0.0, 0.0
1, 0.05, 2000, 48.0, 57.0, 1.9999999999999987, 1.9999999999999998
1, 0.05, 4000, 44.0, 56.0, 1.9999999999999971, 2.000000000000001
1, 0.1, 1000, 23.0, 29.0, 1.9999999999999987, 2.0000000000000004
1, 0.1, 2000, 22.0, 30.0, 1.999999999999998, 2.0
1, 0.1, 4000, 21.0, 31.0, 1.9999999999999964, 2.0
1.2, 0.025, 1000, 0.0, 0.0, 0.0, 0.0
1.2, 0.025, 2000, 0.0, 0.0, 0.0, 0.0
1.2, 0.025, 4000, 0.0, 0.0, 0.0, 0.0
1.2, 0.05, 1000, 0.0, 0.0, 0.0, 0.0
1.2, 0.05, 2000, 42.0, 51.0, 1.8065866739067793, 1.8377782987266196
1.2, 0.05, 4000, 40.0, 56.0, 1.7869416640393585, 1.8428074069928857
1.2, 0.1, 1000, 20.0, 31.0, 1.788270087392829, 1.8442124504097313
1.2, 0.1, 2000, 19.0, 28.0, 1.7835242904436992, 1.8432261422372873
1.2, 0.1, 4000, 19.0, 27.0, 1.782187153326258, 1.855312431197183
